,st_cty_code,county,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
232,60085,Santa Clara County,CA,2,2,6,4,0,2,9,2,0,2,4,10,4,12,5,10,16,23,7
233,60087,Santa Cruz County,CA,5,10,1,7,3,0,6,5,2,5,7,8,6,7,6,7,4,19,9
234,60089,Shasta County,CA,0,2,1,0,2,2,0,0,0,0,5,1,1,0,0,0,1,1,0
235,60091,Sierra County,CA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
236,60093,Siskiyou County,CA,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
237,60095,Solano County,CA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2
238,60097,Sonoma County,CA,8,6,4,9,2,9,8,9,9,10,9,3,12,7,10,12,14,16,11
239,60099,Stanislaus County,CA,1,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,6
240,600101,Sutter County,CA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,600103,Tehama County,CA,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
242,600105,Trinity County,CA,1,1,1,1,3,3,0,1,0,0,1,1,0,1,1,0,0,0,0
243,600107,Tulare County,CA,0,2,0,0,0,0,0,1,0,4,2,0,1,1,0,1,1,2,0
244,600109,Tuolumne County,CA,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0
245,600111,Ventura County,CA,2,2,1,1,2,1,0,4,2,3,4,0,2,2,0,0,6,4,3
246,600113,Yolo County,CA,0,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,3,1
247,600115,Yuba County,CA,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
248,600999,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,8001,Adams County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
