,st_cty_code,county,state,cases
605,160087,Washington County,ID,0
606,1600999,Idaho,ID,0
607,17001,Adams County,IL,2
608,17003,Alexander County,IL,0
609,17005,Bond County,IL,0
610,17007,Boone County,IL,1
611,17009,Brown County,IL,0
612,170011,Bureau County,IL,0
613,170013,Calhoun County,IL,0
614,170015,Carroll County,IL,3
615,170017,Cass County,IL,0
616,170019,Champaign County,IL,2
617,170021,Christian County,IL,0
618,170023,Clark County,IL,1
619,170025,Clay County,IL,0
620,170027,Clinton County,IL,0
621,170029,Coles County,IL,4
622,170031,Cook County,IL,57
623,170033,Crawford County,IL,0
624,170035,Cumberland County,IL,0
625,170037,DeKalb County,IL,2
626,170039,De Witt County,IL,1
627,170041,Douglas County,IL,0
628,170043,DuPage County,IL,27
629,170045,Edgar County,IL,1
630,170047,Edwards County,IL,0
631,170049,Effingham County,IL,0
632,170051,Fayette County,IL,0
633,170053,Ford County,IL,0
634,170055,Franklin County,IL,0
635,170057,Fulton County,IL,2
636,170059,Gallatin County,IL,0
637,170061,Greene County,IL,0
638,170063,Grundy County,IL,0
639,170065,Hamilton County,IL,0
640,170067,Hancock County,IL,0
641,170069,Hardin County,IL,0
642,170071,Henderson County,IL,0
643,170073,Henry County,IL,0
644,170075,Iroquois County,IL,0
645,170077,Jackson County,IL,0
646,170079,Jasper County,IL,0
647,170081,Jefferson County,IL,1
648,170083,Jersey County,IL,0
649,170085,Jo Daviess County,IL,5
650,170087,Johnson County,IL,0
651,170089,Kane County,IL,11
652,170091,Kankakee County,IL,5
653,170093,Kendall County,IL,4
654,170095,Knox County,IL,2
655,170097,Lake County,IL,39
656,170099,LaSalle County,IL,4
657,1700101,Lawrence County,IL,0
658,1700103,Lee County,IL,2
659,1700105,Livingston County,IL,2
660,1700107,Logan County,IL,1
661,1700109,McDonough County,IL,1
662,1700111,McHenry County,IL,29
663,1700113,McLean County,IL,4
664,1700115,Macon County,IL,1
665,1700117,Macoupin County,IL,0
666,1700119,Madison County,IL,2
667,1700121,Marion County,IL,3
668,1700123,Marshall County,IL,1
669,1700125,Mason County,IL,0
670,1700127,Massac County,IL,0
671,1700129,Menard County,IL,0
672,1700131,Mercer County,IL,1
673,1700133,Monroe County,IL,0
674,1700135,Montgomery County,IL,1
675,1700137,Morgan County,IL,0
676,1700139,Moultrie County,IL,2
677,1700141,Ogle County,IL,2
678,1700143,Peoria County,IL,4
679,1700145,Perry County,IL,0
680,1700147,Piatt County,IL,0
681,1700149,Pike County,IL,0
